Project,Promoter Name,Project Type,Project Start Date,Date of Completion,Certificate No,Certificate Date,Total,Sold,Status,District,Village,Taluk
HIGHNESS HEIGHTS,SHWAS BUILDERS AND DEVELOPERS PVT LTD,Residential (Apartment),2019-08-25,2023-08-11,K-RERA/PRJ/163/2020,2021-09-09,108,0,Inprogress,Ernakulam,THEKKUMBHAGOM KANAYANNUR,Kanayannur
PRITHVI,Prime Property Developers,Villas (Plots & Buildings),2021-03-17,2027-12-31,K-RERA/PRJ/TVM/055/2021,2021-10-06,102,101,Inprogress,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
ASIAN AVENUE,ASIAN DEVELOPERS,Residential (Apartment),2021-06-01,2025-12-31,K-RERA/PRJ/ERN/018/2021,2021-06-07,22,19,Inprogress,Ernakulam,ELAMKULAM,Kanayannur
LANDMARK VILLAGE TOWER II,CALICUT LANDMARK BUILDERS AND DEVELOPERS INDIA PRIVATE LIMITED,Residential (Apartment),2016-04-10,2023-03-31,K-RERA/PRJ/222/2020,2021-07-15,152,112,Completed,Kozhikode,KODANCHERY,THAMARASSERY
LANDMARK VILLAGE TOWER III,CALICUT LANDMARK BUILDERS AND DEVELOPERS INDIA PRIVATE LIMITED,Residential (Apartment),2017-03-05,2024-05-31,K-RERA/PRJ/221/2020,2021-08-02,156,104,Completed,Kozhikode,KODANCHERY,THAMARASSERY
LANDMARK VILLAGE TOWER VII,CALICUT LANDMARK BUILDERS AND DEVELOPERS INDIA PRIVATE LIMITED,Mixed (Commercial & Residential),2018-08-15,2028-06-30,K-RERA/PRJ/231/2020,2021-08-05,384,314,Inprogress,Kozhikode,KODANCHERY,THAMARASSERY
POWERLINK HILARY,Powerlink Builders Pvt Ltd,Residential (Apartment),2015-04-07,2023-01-05,K-RERA/PRJ/123/2020,2021-09-07,36,36,Completed,Thiruvananthapuram,PEROORKADA,THIRUVANANTHAPRUAM
THE IDENTITY,IDENTITY INFRASTRUCTURES TWIN TOWERS,Residential (Apartment),2016-04-01,2021-06-10,K-RERA/PRJ/275/2020,2021-07-06,30,15,Completed,Ernakulam,MARADU,Kanayannur
AMETHYST,OMG PROPERTIES PRIVATE LIMITED,Villas (Plots & Buildings),2021-05-06,2025-05-05,K-RERA/PRJ/ERN/030/2021,2021-07-15,9,9,Completed,Ernakulam,ANGAMALY,Aluva
SAHASRA,STHIRA DEVELOPERS,Villas (Plots & Buildings),2020-11-11,2022-09-06,K-RERA/PRJ/PKD/204/2022,2022-12-12,15,9,Completed,Palakkad,PIRIYARI,Palakkad
Homestead Ferris,Homestead Projects And Developers Private Limited,Residential (Apartment),2018-01-09,2021-09-30,K-RERA/PRJ/217/2020,2021-07-15,78,78,Completed,Malappuram,KOTTAKKAL,Tirur
MYS JEWEL,MYS CONSTRUCTIONS,Residential (Apartment),2021-03-31,2023-09-30,K-RERA/PRJ/158/2021,2021-08-02,24,14,Inprogress,Thiruvananthapuram,PEROORKADA,THIRUVANANTHAPRUAM
KOYIKKAL ICONIC,KOYIKKAL CONSTRUCTIONS PRIVATE LIMITED,Villas (Plots & Buildings),2017-04-12,2023-12-31,K-RERA/PRJ/136/2021,2021-07-15,33,33,Inprogress,Thiruvananthapuram,ANDOORKONAM,THIRUVANANTHAPRUAM
VARMA NORTHLIGHT,VARMA HOMES PRIVATE LIMITED,Residential (Apartment),2021-09-01,2026-08-31,K-RERA/PRJ/ERN/021/2021,2021-06-11,19,19,Inprogress,Ernakulam,NADAMA,Kanayannur
ELIXIR GRANDE,ELIXIR CORPORATES,Mixed (Commercial & Residential),2017-06-01,2025-07-31,K-RERA/PRJ/191/2021,2021-09-09,48,35,Inprogress,Pathanamthitta,KAVIYOOR,Thiruvalla
AIRPORT GRANDE HOTEL AND SUITES,AIRPORT GRANDE HOSPITALITY PRIVATE LIMITEDT,Shops/Office Space (Commercial),2013-04-04,2024-08-08,K-RERA/PRJ/150/2021,2022-03-03,129,0,Completed,Ernakulam,CHENGAMANAD,Aluva
MULBERRY HOMES- MYSTIC ROSE,NITHIN MICHELLE BUILDERS AND DEVELOPERS P LTD,Residential (Apartment),2016-04-01,2021-08-02,K-RERA/PRJ/294/2020,2021-10-13,59,49,Completed,Thrissur,CHEMBUKAVU,Thrissur
SOWPARNIKA SEYCHELLES,Sowparnika Projects & Infrasturcture Pvt Ltd,Residential (Apartment),2018-12-01,2025-12-31,K-RERA/PRJ/036/2021,2021-07-21,149,149,Completed,Thiruvananthapuram,CHERUVAKKAL,THIRUVANANTHAPRUAM
SOWPARNIKA EDIFICE,Sowparnika Projects & Infrasturcture Pvt Ltd,Residential (Apartment),2018-02-01,2025-12-31,K-RERA/PRJ/344/2020,2021-07-05,74,44,Inprogress,Thrissur,KANIMANGALAM,Thrissur
PENTAGON CYBER VISTA,PENTAGON BUILDERS,Residential (Apartment),2016-10-28,2021-03-30,K-RERA/PRJ/097/2020,2021-12-14,10,7,Completed,Kozhikode,NELLIKODE,Kozhikode
"MRG SABARI APARTMENTS, PUNKUNNAM",MRG BUILDERS PRIVATE LTD,Residential (Apartment),2016-10-01,2022-04-30,K-RERA/PRJ/099/2020,2021-07-05,50,40,Completed,Thrissur,THRISSUR,Thrissur
CLUB ONE BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Residential (Apartment),2020-08-10,2024-04-30,K-RERA/PRJ/162/2020,2021-07-05,44,40,Completed,Thiruvananthapuram,KUDAPPANAKUNNU,THIRUVANANTHAPRUAM
Jayaraj Anugraha,Jayaraj Properties,Residential (Apartment),2016-02-09,2021-02-28,K-RERA/PRJ/089/2020,2021-07-05,20,19,Completed,Palakkad,PALAKKAD I,Palakkad
Sowparnika River View Gardens Phase 2,Sowparnika Projects,Residential (Apartment),2014-04-01,2024-12-31,K-RERA/PRJ/146/2021,2021-08-27,52,52,Completed,Thiruvananthapuram,NEMOM,THIRUVANANTHAPRUAM
Nikunjam Tharangini,Nikunjam Constructions Private Limited,Residential (Apartment),2019-11-02,2023-11-01,K-RERA/PRJ/003/2020,2021-08-02,88,69,Completed,Thiruvananthapuram,PATTOM,THIRUVANANTHAPRUAM
THE JORD,VAIPPIL VILLAS AND APARTMENTS,Residential (Apartment),2019-05-20,2021-09-30,K-RERA/PRJ/179/2020,2021-09-13,16,11,Completed,Ernakulam,VAZHAKKALA,Kanayannur
"PENTIUM SPRING GREEN VILLAS, PERINTHALMANNA",PENTIUM CONSTRUCTION PRIVATE LIMITED,Villas (Plots & Buildings),2014-10-01,2024-06-30,K-RERA/PRJ/172/2021,2021-07-10,37,36,Completed,Malappuram,PERINTALMANNA,Perinthalmanna
GIE Grand Asteria,Great India Estates Private Limited,Residential (Apartment),2010-11-05,2021-12-31,K-RERA/PRJ/208/2021,2022-11-15,19,13,Inprogress,Thiruvananthapuram,PEROORKADA,THIRUVANANTHAPRUAM
SOWPARNIKA RIVER VIEW GARDENS PHASE 5,Sowparnika Projects,Residential (Apartment),2016-02-01,2024-12-31,K-RERA/PRJ/147/2021,2021-07-23,50,50,Completed,Thiruvananthapuram,NEMOM,THIRUVANANTHAPRUAM
seiken victoria,Seiken Property Developers Pvt Ltd,Residential (Apartment),2016-01-01,2023-06-30,K-RERA/PRJ/128/2021,2021-08-25,44,38,Inprogress,Kozhikode,KASABA,Kozhikode
GRAND RIVIERA,OSKO BUILDERS INDIA PRIVATE LIMITED,Residential (Apartment),2016-09-26,2022-06-30,K-RERA/PRJ/173/2021,2022-03-04,59,0,Completed,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM
THE PETALS VILLAMENT BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Residential (Apartment),2018-08-03,2021-02-06,K-RERA/PRJ/119/2021,2021-07-19,48,48,Completed,Thiruvananthapuram,MANIKKAL,Nedumangad
GALAXY CARLTON,GALAXY HOMES PVT LTD,Residential (Apartment),2015-01-15,2021-03-03,K-RERA/PRJ/130/2021,2022-03-08,54,50,Inprogress,Ernakulam,ELAMKULAM,Kanayannur
